name,online_order,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Amber Rush Restobar,No,4.1/5,93,Residency Road,Pub,"Continental, Chinese, Fast Food","1,000",Drinks & nightlife,Brigade Road
Plan B,No,4.2/5,2020,Shanti Nagar,"Casual Dining, Pub","American, Finger Food, BBQ, Steak","1,200",Drinks & nightlife,Brigade Road
Coconut Grove,No,3.9/5,680,Church Street,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood","1,200",Drinks & nightlife,Brigade Road
Smaaash,No,4.2/5,538,MG Road,"Casual Dining, Pub","North Indian, Pizza, Chinese","1,500",Drinks & nightlife,Brigade Road
My Space - WelcomeHotel Bengaluru,No,3.9/5,23,Richmond Road,Bar,Finger Food,"2,000",Drinks & nightlife,Brigade Road
Chin Lung Resto Bar,No,3.9/5,378,Residency Road,Bar,"North Indian, Chinese, Fast Food","1,000",Drinks & nightlife,Brigade Road
Fuel Resto Bar,No,4.2/5,38,Richmond Road,Bar,"Finger Food, Mediterranean, North Indian","2,000",Drinks & nightlife,Brigade Road
Bootlegger,No,4.1/5,1543,Lavelle Road,Pub,"Continental, Steak","1,200",Drinks & nightlife,Brigade Road
Ice - Taj MG Road Bengaluru,No,4.1/5,608,MG Road,Club,Continental,"2,800",Drinks & nightlife,Brigade Road
i-Bar - The Park Bangalore,No,3.8/5,617,MG Road,Lounge,"North Indian, Chinese, Mediterranean","3,000",Drinks & nightlife,Brigade Road
Chugg,No,3.9/5,747,Church Street,Pub,"Finger Food, Continental, Asian, North Indian","1,500",Drinks & nightlife,Brigade Road
Scottish Pub,No,3.9/5,191,St. Marks Road,Bar,Finger Food,600,Drinks & nightlife,Brigade Road
WYT RestroPub,No,2.7/5,402,MG Road,Pub,"North Indian, Chinese","1,000",Drinks & nightlife,Brigade Road
ThrowBack - Pub & Dine,No,3.9/5,234,Langford Town,"Bar, Casual Dining","Italian, North Indian, Continental","1,000",Drinks & nightlife,Brigade Road
Downtown,No,3.7/5,293,Residency Road,Pub,"North Indian, Continental","1,000",Drinks & nightlife,Brigade Road
The Ritz-Carlton Bar - The Ritz-Carlton,No,4.0/5,93,Residency Road,Lounge,Finger Food,"2,000",Drinks & nightlife,Brigade Road
Sphyre - Gateway Hotel,No,3.6/5,43,Residency Road,Lounge,Finger Food,"1,700",Drinks & nightlife,Brigade Road
Slounge - Lemon Tree Premier,No,4.0/5,62,Ulsoor,Lounge,Finger Food,"1,500",Drinks & nightlife,Brigade Road
Aqua - The Park Bangalore,No,4.0/5,196,MG Road,"Lounge, Bar","North Indian, Mediterranean, Chinese","3,000",Drinks & nightlife,Brigade Road
Strikers Sports Bar and Music,No,3.8/5,73,Shanti Nagar,Bar,"Continental, North Indian, Chinese","1,200",Drinks & nightlife,Brigade Road
Bar UNO - JW Marriott Bengaluru,No,3.9/5,72,Lavelle Road,Lounge,Spanish,"2,500",Drinks & nightlife,Brigade Road
Liquid Lounge - Hyatt Centric MG Road,No,4.0/5,98,Ulsoor,Lounge,"Finger Food, Continental, Chinese","2,400",Drinks & nightlife,Brigade Road
Retro Lounge Bar,No,3.8/5,108,Ulsoor,Bar,"North Indian, Chinese","1,400",Drinks & nightlife,Brigade Road
Mighty Small,No,4.1/5,259,MG Road,"Casual Dining, Bar","Continental, Chinese","1,200",Drinks & nightlife,Brigade Road
White Plate,No,4.2/5,258,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian","1,500",Drinks & nightlife,Brigade Road
The Hub - Ibis Hotel,No,3.5/5,29,Richmond Road,Bar,"Finger Food, Fast Food, Continental","2,200",Drinks & nightlife,Brigade Road
Rasta,No,,0,Church Street,"Bar, Cafe","Continental, Cafe","1,000",Drinks & nightlife,Brigade Road
Page 3 Multicuisine Restaurant & Bar,No,3.5/5,14,Residency Road,Bar,"North Indian, Chinese, Finger Food",800,Drinks & nightlife,Brigade Road
MM Bar & Restaurant,No,3.4/5,6,Shivajinagar,Bar,"South Indian, North Indian",700,Drinks & nightlife,Brigade Road
Manhattan,No,,0,Lavelle Road,Bar,"American, Finger Food","1,000",Drinks & nightlife,Brigade Road
Luscious - St. Mark's Hotel,No,3.7/5,11,St. Marks Road,Lounge,"North Indian, Continental","1,200",Drinks & nightlife,Brigade Road
The Charlton Bar,No,3.3/5,4,Residency Road,Bar,"Chinese, North Indian","1,000",Drinks & nightlife,Brigade Road
Hammered,Yes,4.7/5,4657,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe","1,300",Drinks & nightlife,Brigade Road
Skylit - Citrus Hotels,No,4.0/5,323,Cunningham Road,Lounge,"North Indian, Mughlai, Mediterranean","1,300",Drinks & nightlife,Brigade Road
The Whiskey Bar,No,3.7/5,43,Race Course Road,Bar,"Finger Food, North Indian","2,800",Drinks & nightlife,Brigade Road
Nostradamus Bar & Lounge,No,3.6/5,14,Cunningham Road,Bar,"North Indian, South Indian, Chinese, Continental","1,500",Drinks & nightlife,Brigade Road
Tea and Wine Lounge,No,3.5/5,10,Race Course Road,Cafe,"Cafe, Tea, Desserts",800,Drinks & nightlife,Brigade Road
Haagen Dazs,Yes,3.9/5,77,Koramangala 7th Block,Dessert Parlor,"Ice Cream, Desserts",800,Pubs and bars,Brigade Road
Frolic,Yes,3.9/5,34,Koramangala 7th Block,Dessert Parlor,"Juices, Ice Cream",200,Pubs and bars,Brigade Road
Bombay Kulfis,Yes,3.9/5,27,Koramangala 5th Block,Dessert Parlor,Ice Cream,200,Pubs and bars,Brigade Road
Sweet Truth,Yes,4.1/5,23,Koramangala 6th Block,Delivery,"Bakery, Desserts",500,Pubs and bars,Brigade Road
Maxpresso,Yes,4.1/5,323,Koramangala 7th Block,Cafe,"Cafe, American, Italian, Beverages",700,Pubs and bars,Brigade Road
Haji Ali Juice Centre,Yes,4.0/5,152,Koramangala 5th Block,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts",350,Pubs and bars,Brigade Road
Cookie Man,Yes,4.0/5,100,Koramangala 7th Block,Dessert Parlor,Bakery,150,Pubs and bars,Brigade Road
Gelato Italiano,Yes,3.9/5,110,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Bakery, Desserts",200,Pubs and bars,Brigade Road
Juicy,No,3.9/5,43,Koramangala 5th Block,Beverage Shop,"Beverages, Juices, Fast Food",200,Pubs and bars,Brigade Road
The French Loaf,No,3.8/5,34,Koramangala 5th Block,Bakery,"Bakery, Desserts, Sandwich",400,Pubs and bars,Brigade Road
Lakeview Milkbar,No,3.8/5,286,Koramangala 8th Block,"Dessert Parlor, Cafe","Desserts, Cafe, Fast Food",500,Pubs and bars,Brigade Road
Cake Box,Yes,3.6/5,97,Koramangala 8th Block,Bakery,"Bakery, Desserts",400,Pubs and bars,Brigade Road
Brownie Heaven,Yes,3.9/5,16,Koramangala 5th Block,Dessert Parlor,Desserts,300,Pubs and bars,Brigade Road
Iyengar's Bakery,No,3.5/5,11,Koramangala 6th Block,Bakery,Bakery,200,Pubs and bars,Brigade Road
Bansuri Sweets,No,3.7/5,73,Koramangala 6th Block,"Sweet Shop, Quick Bites","Mithai, North Indian, Street Food",250,Pubs and bars,Brigade Road
Oh! Calcutta,Yes,4.4/5,1110,Church Street,"Casual Dining, Bar","Bengali, Seafood","1,200",,
enjoying the crowd.The service was great despite of the fact 8t was packed.Lets talk about the food now,The veg cutlets were yum! The daal with fish head was the winner for me along with the jhuri aloo bhaja.Thr spread was quite elaborate though.My husband and brother loved the mutton curry and tomato Chutney.All in all a wholesome experience.'), 'RATED\n  We went on choturthi. Ambiance is really good and the staffs are also very well behaved. Coming to the food the buffet is worth of money," starting from """"Shukto"""" to """"chingri mach"""" er malaikari everything was there in their buffet. Each and every dish was as tasty as bengalis want. My choturthi in Bangalore spent well with those satisfying foods.\nWill visit again :)')", 'RATED\n  Visited this place for the sea food festival menu. Very creative and delicious dishes. The cakes with crab and prawn meat (melba dhan) were amazing. Chingri Bhetki roll is a must try for people not very conscious of oil content. Follow it up with ever green kosha mangsho and luchi. Order some white rice with shorshe lau jhinga. We also ordered the prawn kofta curry, wife loved it, rosogolla, nolen gurer ice cream and Bhapa shondesh. Check out the pics for better understanding'), we ordered for pressure cooker mutton (amazing), Calcutta spl chk dum biriyani (good)
The Bar Stock Exchange,No,4.3/5,606,St. Marks Road,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food","1,300",Pubs and bars,Brigade Road
Sunny's,No,4.1/5,1327,Lavelle Road,"Casual Dining, Bar","European, Italian, Seafood, Continental","2,100",Pubs and bars,Brigade Road
The Biere Club,Yes,4.3/5,3484,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food","1,700",Pubs and bars,Brigade Road
SkyDeck By Sherlock's,No,4.2/5,1418,MG Road,"Pub, Casual Dining","Continental, Chinese, Finger Food, North Indian","1,500",,
 the items that stood out were the Cheesy Chicken Nachos and the Mutton Sheek Kababs.\n\nAlso, the cocktails we ordered were solid and hit the right spot.\n\nP.S - Enjoy 2+2 on drinks with Zomato Gold.')," """"RATED\n  Personally"," I didn't like the place because of the food and no Ambience.\nThe pizza was like naan.!\nMusic was good and the view from the place is nice :)"""")", 'RATED\n  Nice rooftop place opposite MG road metro station. The place is good for group get together. The view from the restaurant is really good. The food and drinks are good. Ambiance of the place is good to hold conversation'), ('Rated 3.0', ('Rated 4.0'," """"RATED\n  The people who are working are very welcoming and that's the best thing about the place. Drinks are very good and you should try Sherlock special mocktails. Food is great here. You will not get such a good ambience in MG road."""")",pepper chicken was great. At the end we ordered jeera rice with Dal Tadka and that was truly the best.'), ('Rated 4.0'
1Q1,No,4.3/5,595,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","2,500",,
 with a great ambience! Enjoy your meals with a good company.\n\nPrices are towards the higher side and suggestion is to stick to ala carte and not take deals / packages from them (as have heard bad reviews about those)!'), ('Rated 4.0', ambiance and service. We ended up here at around 3pm on a Saturday, a very odd time, which really worked for us - expect the fact that their sushis opened up only at 7pm, calling us in for another visit. Their drinks are beautiful - we had the aces wild, which was different but we were not too blown away, and the beef bibimbap which was really good. We're definitely planning on visiting again, ('Rated 2.0', 'RATED\n  They got parts of the order wrong
RockSalt,Yes,4.4/5,484,St. Marks Road,"Bar, Casual Dining",Modern Indian,"1,900",,
 'RATED\n  Hey hey hey, finally I make it to Rock Salt!!\nAbhijit Saha - Celebrity Chef from Blore does it again, a fresh airy place has been created, ofcourse covered!\nLooks pretty decent the setup. Like the vertical garden.\n4/5\n\nFood taste and presentation:\nThe foods good here. Loved the taste of Chicken Tikka, nothing to complain about. ??\n20% S Charge added to the bill. ??\n4/5\n\nOverall:\n4/5\nGood. Will come\nBack here in the evening sometime soon as the ambience is more suitable for the late evenings.\n\nWill surely return. Cheers ?'), ('Rated 4.0', ('Rated 5.0', 'RATED\n  Just go for the view and their amazing starters. Enough said !! I wish I could be more verbose about my review but my mouth was full and my heart fulfilled.'), ambience and food is totally worth every penny.\nTry their panipuri shot .. prawn garlic, mint pulao
Mainland China,Yes,4.5/5,1394,Church Street,"Casual Dining, Bar","Chinese, Momos","1,700",Pubs and bars,Brigade Road
Tree Tops Bar & Kitchen,No,4.4/5,108,Lavelle Road,"Casual Dining, Bar","North Indian, Chinese, Continental, Italian","1,000",Pubs and bars,Brigade Road
The Spice Bazaar,No,4.2/5,332,Lavelle Road,"Casual Dining, Bar","North Indian, Mughlai","1,000",Pubs and bars,Brigade Road
Easy Tiger,No,4.3/5,2240,Church Street,"Bar, Casual Dining","Finger Food, Continental","1,100",,
" """"RATED\n  As you walk down Church Street you will hear music And voices raining down. A set of stairs will take you to the roof top 'Easy Tiger'. The open ambience", a huge television," yum .. the hoagie we'd ordered was stuffed and tasty but it was way too much bread for me. And go back I will."""")", ('Rated 4.0', Easy Tiger is a really great place to chill out with friends or family. Has a great atmosphere!'), ('Rated 3.0', great ambience nice food, drinks but service is very late..... We wait 45min something for pizza and after bill also we wait 15min something for change.... But ambience and food is good better..'), found this place.\nWell,this is a busy place with many people.\nFood- 1)ordered lemon iced tea which was of average taste.\n2)corn pops with mayo
Capri Gastrobar,No,4.3/5,284,St. Marks Road,"Bar, Casual Dining","Mediterranean, Italian, Asian","1,200",Pubs and bars,Brigade Road
Bangalore Pub Exchange,No,4.1/5,209,MG Road,"Pub, Casual Dining","Continental, Finger Food, Pizza, North Indian","1,000",Pubs and bars,Brigade Road
The Open Box,Yes,4.2/5,2270,St. Marks Road,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad","1,400",Pubs and bars,Brigade Road
Russh Gastropub,No,4.2/5,1279,Church Street,Pub,"Continental, Italian, Burger","1,100",Pubs and bars,Brigade Road
The Rice Bowl,Yes,4.3/5,500,Lavelle Road,"Casual Dining, Bar","Chinese, Momos","1,300",Pubs and bars,Brigade Road
Carnival de Goa,Yes,4.2/5,980,Ulsoor,"Casual Dining, Bar","Goan, Mangalorean, Pizza","1,000",Pubs and bars,Brigade Road
20 Feet High,Yes,4.0/5,932,Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad","1,000",Pubs and bars,Brigade Road
Copacabana Pub,No,NEW,0,Ulsoor,"Pub, Casual Dining","Mexican, North Indian, Continental","1,500",Pubs and bars,Brigade Road
Amber Rush Restobar,No,4.1/5,93,Residency Road,Pub,"Continental, Chinese, Fast Food","1,000",Pubs and bars,Brigade Road
Coconut Grove,No,3.9/5,680,Church Street,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood","1,200",Pubs and bars,Brigade Road
Smaaash,No,4.2/5,538,MG Road,"Casual Dining, Pub","North Indian, Pizza, Chinese","1,500",Pubs and bars,Brigade Road
Riwaz - The Ritz-Carlton,No,4.1/5,270,Residency Road,"Fine Dining, Bar",North Indian,"4,000",Pubs and bars,Brigade Road
The Grill House,Yes,4.1/5,765,Ulsoor,"Casual Dining, Bar","American, Mexican, Italian, Steak","1,200",Pubs and bars,Brigade Road
My Space - WelcomeHotel Bengaluru,No,3.9/5,23,Richmond Road,Bar,Finger Food,"2,000",Pubs and bars,Brigade Road
Chin Lung Resto Bar,No,3.9/5,378,Residency Road,Bar,"North Indian, Chinese, Fast Food","1,000",Pubs and bars,Brigade Road
Puran da Dhaba - The Pride Hotel,Yes,4.0/5,162,Richmond Road,"Casual Dining, Bar",North Indian,"1,700",Pubs and bars,Brigade Road
Ging - Royal Orchid Central,Yes,4.3/5,225,MG Road,"Bar, Casual Dining",Asian,"2,000",Pubs and bars,Brigade Road
Fuel Resto Bar,No,4.2/5,38,Richmond Road,Bar,"Finger Food, Mediterranean, North Indian","2,000",Pubs and bars,Brigade Road
The Lantern Restaurant & Bar - The Ritz-Carlton...,No,4.4/5,424,Residency Road,"Fine Dining, Bar",Chinese,"3,500",Pubs and bars,Brigade Road
Bootlegger,No,4.1/5,1543,Lavelle Road,Pub,"Continental, Steak","1,200",Pubs and bars,Brigade Road
Tiger Trail - Ramada Hotel,Yes,4.0/5,188,Shivajinagar,"Casual Dining, Bar","North Indian, Lucknowi","1,300",Pubs and bars,Brigade Road
Matsuri - The Chancery Hotel,No,4.4/5,183,Lavelle Road,"Casual Dining, Bar",Japanese,"1,800",Pubs and bars,Brigade Road
EatWater,Yes,4.2/5,121,Lavelle Road,"Casual Dining, Bar",North Eastern,"1,000",Pubs and bars,Brigade Road
Fort Kochi,No,4.1/5,335,MG Road,"Casual Dining, Bar","Kerala, Seafood","1,800",Pubs and bars,Brigade Road
Chugg,No,3.9/5,747,Church Street,Pub,"Finger Food, Continental, Asian, North Indian","1,500",Pubs and bars,Brigade Road
Scottish Pub,No,3.9/5,191,St. Marks Road,Bar,Finger Food,600,Pubs and bars,Brigade Road
WYT RestroPub,No,2.7/5,402,MG Road,Pub,"North Indian, Chinese","1,000",,
 'RATED\n  Gud place in Mg Road\nI have visited today wonderful experience and Gud food, friendly staff and live streaming HD.\nMost wonderful experience with friends'), 'RATED\n  Good music very nice food good services drink is good wonderful place all time offer good cont food is there pizza very nice and very good staff'), ('Rated 5.0', ('Rated 5.0'," """"RATED\n  Wow wow what a place this is really wonderful place iam happy about this wyt pub so much offer of drinks you're not believe in Mg road you're getting 1+4 whisky vodka.gin.dark rum.white rum.port wine.wonderful service. Amazing food. Nice music.iam really happy today. Thanks to wyt pub."""")"," """"RATED\n  Amazing place wonderful food so much offer of drinks very big screen with pool table great service very humble staff nice music really worth it I'm happy about this place."""")", ('Rated 5.0', ('Rated 5.0', 'RATED\n  Good music very nice food good services drink is good wonderful place all time offer good cont food is there pizza very nice and very good staff')
ThrowBack - Pub & Dine,No,3.9/5,234,Langford Town,"Bar, Casual Dining","Italian, North Indian, Continental","1,000",Pubs and bars,Brigade Road
South Parade - The Chancery Hotel,No,3.1/5,120,Lavelle Road,"Casual Dining, Bar","North Indian, Continental, Chinese","1,200",,
 'RATED\n  Very good food. After the renovation hotel looks quite fresh and new.One of the best sushi I ever had.Good service and polite staff.Value for money'), ('Rated 3.0', ('Rated 2.0'," """"RATED\n  I went there for the Midnight Buffet and they literally had no good amount of starters. With few choices of dishes to be selected from and desserts also limited", ('Rated 1.0', 'RATED\n  A very bad idea to go here for buffet, absolutely a disaster!\nThe spread is very limited and feels low standard\nNot worth any money you pay here!If you are looking for tasty food, would never recommend this place to anyone!'), ('Rated 1.0', 'RATED\n  Horrible service in midnight buffet the food was not fresh not much options as well nowhere worth the money horrible midnight buffet ever had')
Downtown,No,3.7/5,293,Residency Road,Pub,"North Indian, Continental","1,000",Pubs and bars,Brigade Road
Aqua - The Park Bangalore,No,4.0/5,196,MG Road,"Lounge, Bar","North Indian, Mediterranean, Chinese","3,000",Pubs and bars,Brigade Road
Strikers Sports Bar and Music,No,3.8/5,73,Shanti Nagar,Bar,"Continental, North Indian, Chinese","1,200",Pubs and bars,Brigade Road
Atomic Lab,No,3.5/5,53,Lavelle Road,"Casual Dining, Bar","Asian, North Indian, Continental","1,800",Pubs and bars,Brigade Road
Retro Lounge Bar,No,3.8/5,108,Ulsoor,Bar,"North Indian, Chinese","1,400",Pubs and bars,Brigade Road
Mighty Small,No,4.1/5,259,MG Road,"Casual Dining, Bar","Continental, Chinese","1,200",Pubs and bars,Brigade Road
White Plate,No,4.2/5,258,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian","1,500",,
 The Drinks, the ambience and the Dj. There is no place in Bangalore that has the best of all these 4!!!! This place is the only one!\nThe Bartender makes one of the most unique and best cocktails. In food, oh my God, yummmmmyyyyyy!my friends tried the other, and none of them had any complaints only compliments.\n\nThis place is worth every penny!!'), ('Rated 4.5', with servings just enough wd the food..not too much, not too less.'), the alcohol pricing is quite economical and love every bit of the barware. Gives you a very elite feeling. We ordered the chilli chicken squares which was done extremely well, the Marakeech pasta which I thought was amazing and the chicken burger with caviar which was also remarkable. Highly recommended!Sagar Narang Shashank Ram Kumar')
The Hub - Ibis Hotel,No,3.5/5,29,Richmond Road,Bar,"Finger Food, Fast Food, Continental","2,200",Pubs and bars,Brigade Road
The Brew Witch Club,No,,0,MG Road,"Pub, Microbrewery","Finger Food, Continental","1,000",Pubs and bars,Brigade Road
Rasta,No,,0,Church Street,"Bar, Cafe","Continental, Cafe","1,000",Pubs and bars,Brigade Road
Page 3 Multicuisine Restaurant & Bar,No,3.5/5,14,Residency Road,Bar,"North Indian, Chinese, Finger Food",800,Pubs and bars,Brigade Road
MM Bar & Restaurant,No,3.4/5,6,Shivajinagar,Bar,"South Indian, North Indian",700,Pubs and bars,Brigade Road
Manhattan,No,,0,Lavelle Road,Bar,"American, Finger Food","1,000",Pubs and bars,Brigade Road
Z-Bar,No,,0,Infantry Road,"Casual Dining, Bar","Finger Food, North Indian","1,500",Pubs and bars,Brigade Road
Nandhini Paradise,No,3.6/5,277,St. Marks Road,"Casual Dining, Bar","Andhra, Chinese, North Indian",800,Pubs and bars,Brigade Road
The Charlton Bar,No,3.3/5,4,Residency Road,Bar,"Chinese, North Indian","1,000",Pubs and bars,Brigade Road
Amnesia - The Poolside Bar,No,3.7/5,15,Residency Road,"Casual Dining, Bar","North Indian, Chinese, Continental","2,000",Pubs and bars,Brigade Road
Engine,No,3.3/5,16,Ulsoor,"Casual Dining, Bar","Biryani, South Indian, North Indian, Chinese, Mughlai",950,Pubs and bars,Brigade Road
Roof Top Gastro Bar,No,,0,Ulsoor,Bar,"Finger Food, Continental, American, Chinese","2,000",Pubs and bars,Brigade Road
Hammered,Yes,4.7/5,4657,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe","1,300",Pubs and bars,Brigade Road
The Whiskey Bar,No,3.7/5,43,Race Course Road,Bar,"Finger Food, North Indian","2,800",Pubs and bars,Brigade Road
Nostradamus Bar & Lounge,No,3.6/5,14,Cunningham Road,Bar,"North Indian, South Indian, Chinese, Continental","1,500",Pubs and bars,Brigade Road
Onesta,Yes,4.3/5,840,Brookefield,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,,
" """"RATED\n  I walked in this place for the first time when they were preparing for opening event. Didn't get a call for try out but yes I went to this place one weekend afternoon. Place is well lit and decor is eye catching.\nComing to food", I took unlimited pizza with desserts. Desserts were good I was hugely disappointed by pizza quality. There was too much of oil on pizza and that made the taste too oily.\nMy friend took unlimited buffet meal and other starters were nice. I would recommend going there for starters and desserts, ('Rated 4.0'," """"RATED\n  Food : I usually try the Unlimited whole menu whenever I visit Onesta. That way I get to taste every thing on the menu and to my heart's content. Food is delicious. The pastas", everything. The variety in starters is a bit less. Not all mocktails are good too. I usually go for Virgin mohito as its a safe choice. I tried the Oreo shake, which wasn't very good. The cappuccino here is good too. There is a good variety of desserts, ('Rated 2.0', 'RATED\n  Being one of the regular visitor of Onesta and itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s outlets across Bengaluru. It was not such a great experience at BrookfieldÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s visit.\n\nIt is obvious that itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s weekend and there would be crowd and the crew wasnÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t ready for it. No First in First out protocol, ('Rated 4.0', 'RATED\n  Visited this place for dinner
Imperio Restaurant,Yes,4.2/5,767,Brookefield,Casual Dining,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",700,Buffet,Brookefield
Zaica Dine & Wine,Yes,3.8/5,818,Brookefield,"Casual Dining, Bar",North Indian,750,Buffet,Brookefield
AB's - Absolute Barbecues,No,4.8/5,2882,Whitefield,Casual Dining,"European, Mediterranean, North Indian, BBQ","1,600",,
 'RATED\n  Amazing hospitality by the staff. The food is as well amazing at this place. Worth a try at this branch of ABÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s. Looking forward to visit again soon.'), ('Rated 5.0', there was so much variety in the buffet menuÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x85 Apart from various preparations of chicken, fish, there were other unique food items available tooÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x85 They had a Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x91live counterÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92 where items like emu meat, bunny meat, shark meat, etc. were on display and based on the customerÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s choice, I had a delightful experience!'), ('Rated 5.0'
Flechazo,No,4.9/5,2745,Whitefield,Casual Dining,"Asian, Mediterranean, North Indian, BBQ","1,400",,
 'RATED\n  One of the best to have buffet in Bangalore. They serve a lot different varieties of cuisines. Another good thing about this place is that they have a specialised corner where you cannot make your customised Pizza and have it. Loved this place\nWhen we went to this place it had some golden duck festival going on,that was nice. Pan flavoured ice-cream is a must try here.'), 'RATED\n  ItÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s a good food and variety of option in Buffett.\n\nStarters:\nThe starters service is like a train track and you will need to pick when it comes to you.\n\nService:\nVery polite and Neat\n\nFood quality in Buffet:\nGood with lot of options.\n\nValue for money :\nWorth it\n\nItÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s a beautiful place for corporate parties and as well for your official or casual lunches\n\nWish to visit again'), ('Rated 4.0',service,food here...the ambiance is pretty colour full and cool....the staters are served on the table with lot a good options in veg n non veg...fish fingers n chicken wings are must try here in non veg staters...main course they have plenty of options....very satisfied with their service and yummy food...only the nitrogen icecream is not good is what I felt...they have live counters n pizzas can be made by yourself...'), 'RATED\n  I had my birthday dinner here, I liked everything about the place, food and its presentation. The unique features like, live kitchen
Ji Hazoor,Yes,4.0/5,2807,Whitefield,"Casual Dining, Bar","Mughlai, North Indian, Biryani, Afghan","1,100",,
" """"RATED\n  Fan of North Indian Food?\nFan of Old School Traditional Indian Decor?\nFan of Old Hindi Music?\n\nThis place is perfect fit for you!\n\n? Food and Drinks:\n\nWith limited AppÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ©tit", we settled with one starter, marinated in Spinach and Yogurt based batter. It tasted a lil above average.\n\nAstonishingly, they don't have a menu for alcohol, there were rats all around in open space seating space.\n\n? Portions and Pricing:\n\nDecent portions for starter,"for the price quoted.\n\nMore alcohol options badly need to be added to menu and Pricing needs revision.\n175/- for a draught KF mug is unreasonable\nGladly Zomato Gold came to our rescue.\n\nMenu and Drinks options and pricing need a serious refurbishing and review.\n\nCan be Tried!"""")"," """"RATED\n  Have heard a lot about this place . Got a chance to visit last Sunday..I have no words to explain about the ambience up there . It was stunning and very beautiful.\nComing to food "," it's very nice but yeah there no X factor to rate. It's like other multi cuisine restaurant."""")", 4th floor roof top, it is one of the Value for money restaurants in Whitefield . Grand ambience. The theme is of mughal
HQ,No,4.1/5,460,Whitefield,"Casual Dining, Bar","North Indian, Italian, Finger Food, Continental","1,000",,
 'RATED\n  Best place in the town. Refreshing. The ambience is simply awesome. Very well decorated and maintained. The service and the staff is also amazing. When it comes to food it is good but they need to work little more on it. Very different decor.'), ('Rated 4.0', we only ordered main course, no drinks or starters.\nGrilled fish fillet and cheese chicken fungi were delicious. Lemon Orange Grilled fish was bitter due to orange zest. Chicken ki maa ki was very tasty - chicken curry with plain rice. I felt paratha would have suited better with the curry given the texture if the curry. Reasonably priced. Will visit again. They need to improve their service, ('Rated 4.0', 'RATED\n  Visited for team dinner, tasty food and comfortable cosy seating without much noise like many other pubs. Definitely worth going'), ('Rated 5.0', 'RATED\n  Best place in the town. Refreshing. The ambience is simply awesome. Very well decorated and maintained. The service and the staff is also amazing. When it comes to food it is good but they need to work little more on it. Very different decor.'), ('Rated 4.0'
The Terrace at Windmills Craftworks,No,4.1/5,450,Whitefield,Casual Dining,North Indian,"1,800",Buffet,Brookefield
Mainland China,Yes,4.7/5,1512,Whitefield,Casual Dining,"Chinese, Momos","1,700",,
